tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,205,204419,3,,Ana Sofia Sanchez,L,,MEX,29.7,214605,,Q,Agustina Chlpac,U,,ARG,26.9,6-1 4-1 RET,3,R32,,,,,,,,,,,,,,,,,,,,297,231,1098,13
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,206,252488,14,,Ana Candiotto,U,,BRA,19.7,221657,,Q,Camilla Zanolini,U,,ITA,20.8,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,598,75,984,18
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,207,214319,9,,Sara Cakarevic,R,,FRA,26.8,223336,,,Weronika Baszak,R,,POL,21.3,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,467,118,803,37
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,208,214713,,Q,Camila Romero,R,175,ECU,25.2,202440,8,,Paula Ormaechea,R,170,ARG,31.2,6-4 3-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,,993,18,404,150
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,209,206194,6,,Gabriela Ce,L,,BRA,30.8,211646,,,Oana Georgeta Simion,R,,ROU,27.8,6-1 2-6 7-6(1),3,R32,,,,,,,,,,,,,,,,,,,,385,161,817,34
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,210,211921,10,,Julieta Lara Estable,R,,ARG,26.5,214238,,,Verena Meliss,U,,ITA,26.4,3-6 6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,505,103,790,38
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,211,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,236972,16,,Luisina Giovannini,U,,ARG,17.1,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,671,57,641,63
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,212,206430,4,,Carolina Alves,U,,BRA,27.7,261957,,,Candela Vazquez,U,,ARG,,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,303,226,914,24
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,213,211809,5,,Daria Lodikova,R,,RUS,27.6,219663,,,Lauren Proctor,U,,USA,27.0,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,347,186,838,32
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,214,214254,11,,Alice Rame,R,,FRA,26.1,215971,,,Ania Hertel,R,,POL,23.2,6-4 7-6(5),3,R32,,,,,,,,,,,,,,,,,,,,531,92,809,35
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,215,222859,15,,Maria Sara Popa,L,,ROU,18.4,206406,,,Berta Bonardi,R,,ARG,28.5,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,603,73,686,54
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,216,220446,,,Jazmin Ortenzi,R,,ARG,22.1,260959,,LL,Catarina Melleiro,U,,BRA,,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,762,42,,
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,301,213837,1,,Ylena In Albon,R,,SUI,24.8,223367,,,Maria Fernanda Navarro,U,,MEX,27.5,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,,257,290,,
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,302,206037,,,Daniela Seguel,U,171,CHI,31.1,210847,7,,Miriana Tona,U,,ITA,29.0,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,,670,57,388,159
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,303,204419,3,,Ana Sofia Sanchez,L,,MEX,29.7,252488,14,,Ana Candiotto,U,,BRA,19.7,6-1 4-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,,297,231,598,75
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,304,214319,9,,Sara Cakarevic,R,,FRA,26.8,214713,,Q,Camila Romero,R,175,ECU,25.2,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,467,118,993,18
