tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-2034,Saint-Malo,Clay,32,C,20210503,300,203530,5,,Viktorija Golubic,R,169,SUI,28.5,211148,,,Jasmine Paolini,R,160,ITA,25.3,6-1 6-3,3,F,64,1,2,59,44,28,8,8,5,6,1,1,46,29,15,5,8,1,6,84,972,103,793
2021-2034,Saint-Malo,Clay,32,C,20210503,299,203530,5,,Viktorija Golubic,R,169,SUI,28.5,211552,,WC,Harmony Tan,R,,FRA,23.6,7-6(4) 6-3,3,SF,98,0,3,77,59,40,7,11,3,6,2,2,68,37,21,14,10,4,8,84,972,157,495
2021-2034,Saint-Malo,Clay,32,C,20210503,298,211148,,,Jasmine Paolini,R,160,ITA,25.3,219875,,,Varvara Gracheva,R,,FRA,20.7,6-3 6-1,3,SF,77,1,2,64,45,32,12,8,6,6,1,4,61,34,19,11,8,5,9,103,793,96,863
2021-2034,Saint-Malo,Clay,32,C,20210503,297,211552,,WC,Harmony Tan,R,,FRA,23.6,211901,,,Aliona Bolsova,R,172,MDA,23.4,7-6(3) 6-0,3,QF,82,0,3,54,30,22,12,9,1,3,2,1,61,38,19,9,9,4,9,157,495,105,773
2021-2034,Saint-Malo,Clay,32,C,20210503,296,203530,5,,Viktorija Golubic,R,169,SUI,28.5,205925,,,Aliaksandra Sasnovich,R,174,BLR,27.1,6-1 6-0,3,QF,54,1,2,46,37,24,4,6,6,7,0,1,42,27,7,6,7,5,12,84,972,92,878
2021-2034,Saint-Malo,Clay,32,C,20210503,295,211148,,,Jasmine Paolini,R,160,ITA,25.3,203533,,,Anna Karolina Schmiedlova,R,176,SVK,26.6,6-3 7-5,3,QF,97,0,1,63,48,28,8,10,0,3,1,0,76,54,27,10,11,9,15,103,793,115,723
2021-2034,Saint-Malo,Clay,32,C,20210503,294,219875,,,Varvara Gracheva,R,,FRA,20.7,202490,2,,Rebecca Peterson,R,173,SWE,25.7,6-4 6-0,3,QF,69,2,4,56,37,25,8,8,6,8,2,4,41,28,12,4,8,3,9,96,863,61,1300
2021-2034,Saint-Malo,Clay,32,C,20210503,293,211901,,,Aliona Bolsova,R,172,MDA,23.4,206219,,,Oceane Dodin,R,,FRA,24.5,5-7 7-5 7-5,3,R16,159,4,4,117,80,44,17,18,7,16,2,13,131,78,46,20,18,11,21,105,773,117,718
2021-2034,Saint-Malo,Clay,32,C,20210503,292,211552,,WC,Harmony Tan,R,,FRA,23.6,201551,6,,Arantxa Rus,L,180,NED,30.3,6-4 6-2,3,R16,111,0,1,77,43,29,15,9,7,9,0,2,62,52,25,6,9,9,14,157,495,85,969
2021-2034,Saint-Malo,Clay,32,C,20210503,291,205925,,,Aliaksandra Sasnovich,R,174,BLR,27.1,214461,4,,Tamara Zidansek,R,168,SLO,23.3,7-6(3) 6-3,3,R16,102,3,4,84,59,37,8,11,8,12,4,5,75,44,24,10,10,3,8,92,878,80,1005
2021-2034,Saint-Malo,Clay,32,C,20210503,290,203530,5,,Viktorija Golubic,R,169,SUI,28.5,213889,,,Greet Minnen,R,,BEL,23.7,6-4 4-6 7-6(2),3,R16,150,0,4,109,78,47,11,16,9,16,1,4,95,58,33,17,16,4,11,84,972,129,653
2021-2034,Saint-Malo,Clay,32,C,20210503,289,211148,,,Jasmine Paolini,R,160,ITA,25.3,211411,7,,Nina Stojanovic,R,176,SRB,24.7,4-6 6-2 6-1,3,R16,106,1,2,92,68,39,16,13,3,6,3,4,78,50,27,10,12,3,9,103,793,88,949
2021-2034,Saint-Malo,Clay,32,C,20210503,288,203533,,,Anna Karolina Schmiedlova,R,176,SVK,26.6,203462,,,Kateryna Baindl,R,175,UKR,27.1,6-3 5-7 6-4,3,R16,165,2,5,104,71,36,10,16,8,18,0,4,92,63,28,11,15,7,18,115,723,137,598
2021-2034,Saint-Malo,Clay,32,C,20210503,287,219875,,,Varvara Gracheva,R,,FRA,20.7,202600,,Q,Viktoriya Tomova,R,170,BUL,26.1,6-4 5-5 RET,3,R16,98,0,0,75,48,29,11,10,1,5,0,3,71,49,25,10,10,8,13,96,863,126,660
2021-2034,Saint-Malo,Clay,32,C,20210503,286,202490,2,,Rebecca Peterson,R,173,SWE,25.7,214939,,,Anna Kalinskaya,R,175,RUS,22.4,4-6 6-4 4-0 RET,3,R16,109,6,3,77,53,36,10,12,3,7,1,4,67,44,23,9,12,1,7,61,1300,104,775
2021-2034,Saint-Malo,Clay,32,C,20210503,285,206219,,,Oceane Dodin,R,,FRA,24.5,201427,1,,Alize Cornet,R,173,FRA,31.2,7-5 6-7(8) 6-1,3,R32,176,1,12,122,74,49,25,16,11,14,5,6,111,71,42,21,15,10,16,117,718,60,1335
2021-2034,Saint-Malo,Clay,32,C,20210503,284,211901,,,Aliona Bolsova,R,172,MDA,23.4,203354,,,Martina Trevisan,L,160,ITA,27.4,6-2 6-4,3,R32,106,0,0,66,43,26,15,9,7,8,0,2,68,47,28,8,9,5,9,105,773,100,844
2021-2034,Saint-Malo,Clay,32,C,20210503,283,211552,,WC,Harmony Tan,R,,FRA,23.6,206374,,,Yafan Wang,R,170,CHN,27.0,6-4 4-6 6-3,3,R32,167,0,1,114,70,43,21,15,9,14,1,2,100,71,36,14,14,10,16,157,495,122,705
2021-2034,Saint-Malo,Clay,32,C,20210503,282,201551,6,,Arantxa Rus,L,180,NED,30.3,202506,,,Margarita Gasparyan,R,183,RUS,26.6,6-7(4) 6-1 6-4,3,R32,159,1,3,96,78,41,10,14,5,11,0,8,117,78,38,18,15,6,16,85,969,98,854
2021-2034,Saint-Malo,Clay,32,C,20210503,281,214461,4,,Tamara Zidansek,R,168,SLO,23.3,206124,,,Tereza Martincova,R,178,CZE,26.5,6-7(1) 6-2 6-1,3,R32,127,1,3,92,58,33,19,13,4,7,2,7,105,70,39,11,14,9,17,80,1005,95,864
2021-2034,Saint-Malo,Clay,32,C,20210503,280,205925,,,Aliaksandra Sasnovich,R,174,BLR,27.1,214219,,Q,Tessah Andrianjafitrimo,R,169,FRA,22.5,7-5 0-6 7-5,3,R32,138,0,3,90,56,30,15,15,6,14,0,1,88,56,34,12,15,6,13,92,878,257,262
2021-2034,Saint-Malo,Clay,32,C,20210503,279,213889,,,Greet Minnen,R,,BEL,23.7,213604,,Q,Luisa Stefani,R,168,BRA,23.7,6-4 3-6 6-4,3,R32,137,1,5,92,62,44,15,14,0,2,2,8,106,60,40,24,15,5,8,129,653,771,32
2021-2034,Saint-Malo,Clay,32,C,20210503,278,203530,5,,Viktorija Golubic,R,169,SUI,28.5,216262,,WC,Clara Burel,R,176,FRA,20.1,6-2 7-6(4),3,R32,105,0,0,73,52,34,15,10,6,7,1,6,70,42,28,13,10,2,5,84,972,164,467
2021-2034,Saint-Malo,Clay,32,C,20210503,277,211411,7,,Nina Stojanovic,R,176,SRB,24.7,201527,,,Stefanie Voegele,R,170,SUI,31.1,6-3 1-6 6-4,3,R32,152,1,6,88,48,28,18,13,4,10,1,6,101,53,32,20,13,8,14,88,949,127,659
2021-2034,Saint-Malo,Clay,32,C,20210503,276,211148,,,Jasmine Paolini,R,160,ITA,25.3,221039,,WC,Elsa Jacquemot,R,,FRA,18.0,7-5 5-7 6-2,3,R32,131,0,6,116,76,47,21,16,15,19,3,6,97,50,34,21,16,7,13,103,793,498,84
2021-2034,Saint-Malo,Clay,32,C,20210503,275,203462,,,Kateryna Baindl,R,175,UKR,27.1,220348,,WC,Diane Parry,R,170,FRA,18.6,6-2 6-3,3,R32,86,3,1,65,45,34,10,9,9,9,2,2,55,39,23,7,8,3,6,137,598,308,198
2021-2034,Saint-Malo,Clay,32,C,20210503,274,203533,,,Anna Karolina Schmiedlova,R,176,SVK,26.6,202421,3,,Alison Van Uytvanck,R,173,BEL,27.1,2-6 7-5 6-3,3,R32,159,2,3,103,66,37,17,15,6,12,1,5,100,54,31,21,14,5,11,115,723,68,1185
2021-2034,Saint-Malo,Clay,32,C,20210503,273,202600,,Q,Viktoriya Tomova,R,170,BUL,26.1,201539,8,,Christina Mchale,R,170,USA,28.9,6-4 2-6 6-2,3,R32,157,0,5,99,76,43,10,13,8,13,0,5,99,61,35,14,13,7,13,126,660,90,919
2021-2034,Saint-Malo,Clay,32,C,20210503,272,219875,,,Varvara Gracheva,R,,FRA,20.7,220704,,Q,Clara Tauson,R,182,DEN,18.3,3-6 6-3 6-3,3,R32,156,0,3,99,64,39,15,14,7,11,1,6,99,56,35,17,13,12,17,96,863,94,870
2021-2034,Saint-Malo,Clay,32,C,20210503,271,214939,,,Anna Kalinskaya,R,175,RUS,22.4,203281,,LL,Amandine Hesse,R,164,FRA,28.2,6-0 4-6 6-2,3,R32,105,3,5,72,51,32,9,12,7,11,2,5,76,38,21,13,12,9,17,104,775,265,255
2021-2034,Saint-Malo,Clay,32,C,20210503,270,202490,2,,Rebecca Peterson,R,173,SWE,25.7,216016,,,Xiyu Wang,L,,CHN,20.0,4-6 6-4 7-5,3,R32,144,1,5,92,61,33,18,16,3,9,5,5,92,60,35,16,16,2,9,61,1300,136,603
2021-1090,Bol,Clay,32,C,20210607,300,211148,3,,Jasmine Paolini,R,160,ITA,25.4,201551,2,,Arantxa Rus,L,180,NED,30.4,6-2 7-6(4),3,F,104,0,2,60,39,28,11,10,1,4,0,2,78,61,35,6,10,8,13,91,863,83,996
