tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-1065,Cali 125,Clay,32,C,20230130,300,206408,,,Nadia Podoroska,R,170,ARG,25.9,215306,,WC,Emiliana Arango,R,,COL,22.1,6-4 6-1,3,SF,82,0,6,52,33,24,10,9,2,4,1,2,53,39,20,2,8,6,11,156,405,350,155
2023-1065,Cali 125,Clay,32,C,20230130,299,202440,,,Paula Ormaechea,R,170,ARG,30.3,206007,2,,Laura Pigossi,R,164,BRA,28.4,7-5 6-3,3,SF,115,4,1,61,45,32,12,10,6,7,0,5,68,37,21,17,11,4,8,206,324,110,587
2023-1065,Cali 125,Clay,32,C,20230130,298,206408,,,Nadia Podoroska,R,170,ARG,25.9,214782,8,,Fernanda Contreras Gomez,R,,MEX,25.3,6-3 6-3,3,QF,91,2,2,49,26,22,13,9,2,3,2,1,62,33,18,14,9,3,7,156,405,183,362
2023-1065,Cali 125,Clay,32,C,20230130,297,215306,,WC,Emiliana Arango,R,,COL,22.1,211820,,Q,Martina Colmegna,R,,ITA,26.1,6-1 7-5,3,QF,115,1,2,67,43,24,12,9,4,8,0,1,56,46,18,1,10,3,11,350,155,401,123
2023-1065,Cali 125,Clay,32,C,20230130,296,202440,,,Paula Ormaechea,R,170,ARG,30.3,220722,,,Elvina Kalieva,R,,USA,19.5,7-5 3-6 6-3,3,QF,150,1,7,101,58,41,13,15,8,15,3,10,100,58,33,18,15,5,13,206,324,251,257
2023-1065,Cali 125,Clay,32,C,20230130,295,206007,2,,Laura Pigossi,R,164,BRA,28.4,211063,,,Valeriya Strakhova,R,,UKR,27.6,6-3 3-6 6-3,3,QF,163,0,4,80,59,34,7,13,4,11,0,4,91,52,28,14,14,7,16,110,587,389,129
2023-1065,Cali 125,Clay,32,C,20230130,294,206408,,,Nadia Podoroska,R,170,ARG,25.9,220733,,,Carole Monnet,L,,FRA,21.1,4-6 6-3 6-1,3,R16,145,3,8,85,45,25,22,13,3,7,1,9,92,54,30,15,13,8,15,156,405,225,290
2023-1065,Cali 125,Clay,32,C,20230130,293,214782,8,,Fernanda Contreras Gomez,R,,MEX,25.3,214646,,,Xiaodi You,U,,CHN,26.7,6-2 6-0,3,R16,70,3,2,36,13,10,14,7,0,1,0,2,45,37,15,2,7,6,12,183,362,297,199
2023-1065,Cali 125,Clay,32,C,20230130,292,211820,,Q,Martina Colmegna,R,,ITA,26.1,202464,,WC,Yuliana Lizarazo,R,175,COL,29.6,7-5 6-4,3,R16,120,0,4,92,78,47,5,11,7,10,1,5,70,41,23,13,11,4,9,401,123,383,130
2023-1065,Cali 125,Clay,32,C,20230130,291,215306,,WC,Emiliana Arango,R,,COL,22.1,213887,,,Renata Zarazua,R,,MEX,25.3,6-3 6-3,3,R16,71,2,2,48,27,22,8,9,3,6,0,0,48,33,15,5,9,3,9,350,155,275,222
2023-1065,Cali 125,Clay,32,C,20230130,290,220722,,,Elvina Kalieva,R,,USA,19.5,215572,,,Nuria Brancaccio,R,,ITA,22.6,6-3 4-6 6-2,3,R16,138,5,7,107,62,37,23,14,7,11,0,3,88,64,30,14,13,4,10,251,257,213,308
2023-1065,Cali 125,Clay,32,C,20230130,289,202440,,,Paula Ormaechea,R,170,ARG,30.3,211901,3,,Aliona Bolsova,R,172,MDA,25.2,7-6(4) 6-3,3,R16,112,3,2,82,49,35,19,11,4,5,3,0,64,44,28,10,10,2,4,206,324,148,426
2023-1065,Cali 125,Clay,32,C,20230130,288,211063,,,Valeriya Strakhova,R,,UKR,27.6,206430,,Q,Carolina Alves,U,,BRA,26.7,6-1 5-7 6-1,3,R16,126,0,5,84,56,39,13,13,5,8,1,2,68,43,21,12,13,3,10,389,129,216,301
2023-1065,Cali 125,Clay,32,C,20230130,287,206007,2,,Laura Pigossi,R,164,BRA,28.4,213779,,,Raluka Serban,R,,CYP,25.6,6-2 6-3,3,R16,124,1,2,57,40,22,9,8,3,6,0,4,91,66,29,10,9,17,24,110,587,215,307
2023-1065,Cali 125,Clay,32,C,20230130,286,206408,,,Nadia Podoroska,R,170,ARG,25.9,202436,1,,Reka Luca Jani,R,161,HUN,31.5,6-0 6-2,3,R32,83,0,1,57,43,24,9,7,5,7,0,5,47,36,13,3,7,7,14,156,405,111,569
2023-1065,Cali 125,Clay,32,C,20230130,285,220733,,,Carole Monnet,L,,FRA,21.1,211222,,,Jamie Loeb,R,168,USA,27.8,6-3 6-4,3,R32,79,3,11,55,27,24,15,10,2,3,3,3,57,22,15,15,9,4,7,225,290,226,288
2023-1065,Cali 125,Clay,32,C,20230130,284,214646,,,Xiaodi You,U,,CHN,26.7,211043,,WC,Maria Paulina Perez Garcia,R,170,COL,27.0,6-0 6-4,3,R32,92,2,3,51,23,15,17,8,3,4,0,0,58,25,13,14,8,6,11,297,199,712,36
2023-1065,Cali 125,Clay,32,C,20230130,283,214782,8,,Fernanda Contreras Gomez,R,,MEX,25.3,206277,,Q,Marine Partaud,R,,FRA,28.2,6-1 1-6 6-1,3,R32,124,8,5,88,39,28,24,11,14,17,0,6,73,45,25,10,10,4,9,183,362,443,105
2023-1065,Cali 125,Clay,32,C,20230130,282,211820,,Q,Martina Colmegna,R,,ITA,26.1,214604,4,,Maria Lourdes Carle,R,,ARG,22.9,6-4 6-2,3,R32,97,0,2,63,46,23,7,9,6,11,1,8,62,31,12,10,9,8,16,401,123,147,427
2023-1065,Cali 125,Clay,32,C,20230130,281,202464,,WC,Yuliana Lizarazo,R,175,COL,29.6,215992,,,Whitney Osuigwe,R,168,USA,20.7,4-2 RET,3,R32,29,1,1,15,8,6,3,3,0,1,1,0,20,14,6,2,4,3,5,383,130,294,205
2023-1065,Cali 125,Clay,32,C,20230130,280,213887,,,Renata Zarazua,R,,MEX,25.3,214297,,,Jessie Aney,R,173,USA,24.7,6-7(4) 6-0 6-1,3,R32,116,0,2,70,47,32,14,12,3,6,2,7,99,53,33,12,13,7,16,275,222,372,137
2023-1065,Cali 125,Clay,32,C,20230130,279,215306,,WC,Emiliana Arango,R,,COL,22.1,203475,7,,Carol Zhao,R,165,CAN,27.6,6-4 6-3,3,R32,95,1,4,44,25,17,9,9,1,4,1,6,80,54,26,10,10,9,15,350,155,163,385
2023-1065,Cali 125,Clay,32,C,20230130,278,220722,,,Elvina Kalieva,R,,USA,19.5,221024,6,,Hailey Baptiste,R,,USA,21.2,5-7 7-6(4) 6-4,3,R32,164,1,5,127,83,49,24,17,11,16,5,10,100,49,36,23,17,2,7,251,257,229,286
2023-1065,Cali 125,Clay,32,C,20230130,277,215572,,,Nuria Brancaccio,R,,ITA,22.6,220699,,,Julia Riera,R,,ARG,20.6,7-5 6-3,3,R32,82,0,2,75,62,38,5,11,3,6,2,2,74,46,25,13,10,7,12,213,308,259,250
2023-1065,Cali 125,Clay,32,C,20230130,276,202440,,,Paula Ormaechea,R,170,ARG,30.3,216579,,,Weronika Falkowska,R,,POL,22.6,5-7 6-0 6-1,3,R32,147,1,7,103,64,41,20,12,12,14,0,8,90,44,25,20,13,4,11,206,324,250,259
2023-1065,Cali 125,Clay,32,C,20230130,275,211901,3,,Aliona Bolsova,R,172,MDA,25.2,203514,,,Katarzyna Kawa,R,178,POL,30.2,7-6(1) 7-5,3,R32,136,0,9,81,57,40,11,12,5,8,1,7,88,47,27,19,12,2,6,148,426,231,283
2023-1065,Cali 125,Clay,32,C,20230130,274,206430,,Q,Carolina Alves,U,,BRA,26.7,214452,5,,Caroline Dolehide,R,178,USA,24.4,7-6(5) 3-6 7-6(4),3,R32,169,0,7,120,71,46,24,16,7,13,6,6,117,82,54,15,17,7,12,216,301,168,381
2023-1065,Cali 125,Clay,32,C,20230130,273,211063,,,Valeriya Strakhova,R,,UKR,27.6,211864,,WC,Maria Fernanda Herazo Gonzalez,L,166,COL,25.8,6-2 6-2,3,R32,88,0,2,55,34,22,13,8,4,6,0,5,49,34,15,4,8,4,10,389,129,381,131
2023-1065,Cali 125,Clay,32,C,20230130,272,213779,,,Raluka Serban,R,,CYP,25.6,211225,,Q,Quinn Gleason,R,178,USA,28.2,5-7 6-1 7-6(4),3,R32,163,0,4,105,81,52,12,15,6,10,0,4,107,79,44,13,16,5,11,215,307,746,32
2023-1065,Cali 125,Clay,32,C,20230130,271,206007,2,,Laura Pigossi,R,164,BRA,28.4,206194,,,Gabriela Ce,L,,BRA,29.9,6-1 6-1,3,R32,89,3,0,44,32,23,7,7,0,0,2,1,49,27,16,6,7,2,7,110,587,263,245
2023-1065,Cali 125,Clay,32,C,20230130,270,206408,,,Nadia Podoroska,R,170,ARG,25.9,202440,,,Paula Ormaechea,R,170,ARG,30.3,6-4 6-2,3,F,89,1,1,47,21,12,18,9,2,5,0,1,55,31,15,9,9,4,10,156,405,206,324
