joueuse_1,joueuse_2,surface,cote_1,cote_2,niveau,tournoi
Coco Gauff,Marta Kostyuk,dur,1.69,2.17,I,Cincinnati WTA
Jessica Pegula,Iga Swiatek,dur,2.96,1.4,I,Cincinnati WTA
