joueuse_1,joueuse_2,surface,cote_1,cote_2,niveau,tournoi
Coco Gauff,Belinda Bencic,dur,1.55,2.45,I,Toronto WTA
Elena Rybakina,Naomi Osaka,dur,1.88,1.91,I,Toronto WTA
